gage,NP,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
